도,시군,품목,작기,농가명,날짜,평균 : 온도_외부,최대 : 일일누적일사량,최대 : 강우감지,평균 : 온도_내부,평균 : 상대습도_내부,평균 : 잔존CO2,평균 : 토양온도,합계 : 결측치-일사량추정
경기,광주,완숙토마토,1,2,2018-01-05,-6,836,0,12.17,86.44,440.08,10.05,836
경기,광주,완숙토마토,1,2,2018-01-06,-6.75,916,0,11.14,82.78,466.21,12.46,916
경기,광주,완숙토마토,1,2,2018-01-07,-5.56,510,0,9.39,87.58,471.46,12.57,510
경기,광주,완숙토마토,1,2,2018-01-08,-0.16,382,0,9.2,93.54,459.83,12.1,382
경기,광주,완숙토마토,1,2,2018-01-09,-4.85,616,0,8.08,90.17,427.42,11.16,616
경기,광주,완숙토마토,1,2,2018-01-10,-9.27,922,0,8.77,83.34,507.71,11.18,922
경기,광주,완숙토마토,1,2,2018-01-11,-13.18,958,0,9.83,76.43,526.08,11.89,958
경기,광주,완숙토마토,1,2,2018-01-12,-13.93,1026,0,10.48,74.34,467.38,13.23,1026
경기,광주,완숙토마토,1,2,2018-01-13,-8.48,285,0,7.93,89.35,461.13,11.86,285
경기,광주,완숙토마토,1,2,2018-01-14,-4.48,780,0,12.54,78.99,453.17,13.12,780
경기,광주,완숙토마토,1,2,2018-01-15,1.79,768,0,13.46,86.33,446.42,15.27,768
경기,광주,완숙토마토,1,2,2018-01-16,-0.69,358,0,10.45,91.29,461.42,14.3,358
경기,광주,완숙토마토,1,2,2018-01-17,2,423,0,11.48,91.4,503.42,14.01,423
경기,광주,완숙토마토,1,2,2018-01-18,-0.03,567,0,11.64,89.51,483.21,14.24,567
경기,광주,완숙토마토,1,2,2018-01-19,-1.88,973,0,13.43,81.92,432.75,15.46,973
경기,광주,완숙토마토,1,2,2018-01-20,-1.86,663,0,12.55,88.13,445.58,15.65,663
경기,광주,완숙토마토,1,2,2018-01-21,-3.64,828,0,12.79,82.47,437.71,15.67,828
경기,광주,완숙토마토,1,2,2018-01-22,-1.99,407,0,10.63,91.6,487.54,14.57,407
경기,광주,완숙토마토,1,2,2018-01-23,-11.73,796,0,10.52,80.77,533.33,14.03,796
경기,광주,완숙토마토,1,2,2018-01-24,-15.26,1109,0,10.77,76.6,492.33,13.96,1109
경기,광주,완숙토마토,1,2,2018-01-25,-15.4,1049,0,10.25,78.36,442.67,13.91,1049
경기,광주,완숙토마토,1,2,2018-01-26,-16.59,1107,0,11,74.88,505.33,14.28,1107
